"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1053","checkMultipleItemName","SouseDemo SmokeTest","Sat Aug 02 19:11:19 GMT 2025","passed","Sat Aug 02 19:11:20 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkMultipleItemName"
"Проверка что пользователь не может войти в аккаунт без использования пароля","641","Проверка входа без пароля","SouseDemo SmokeTest","Sat Aug 02 19:11:18 GMT 2025","passed","Sat Aug 02 19:11:18 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithoutPassword"
"","712","checkLoginWithNegativeValue","SouseDemo SmokeTest","Sat Aug 02 19:11:12 GMT 2025","passed","Sat Aug 02 19:11:13 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue"
"","537","checkNegative","SouseDemo SmokeTest","Sat Aug 02 19:11:17 GMT 2025","passed","Sat Aug 02 19:11:17 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkNegative"
"","2135","checkCheckout","SouseDemo SmokeTest","Sat Aug 02 19:11:07 GMT 2025","passed","Sat Aug 02 19:11:10 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkCheckout"
"","644","checkNegative","SouseDemo SmokeTest","Sat Aug 02 19:11:16 GMT 2025","passed","Sat Aug 02 19:11:16 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkNegative"
"","893","checkMoveToCart","SouseDemo SmokeTest","Sat Aug 02 19:11:30 GMT 2025","passed","Sat Aug 02 19:11:31 GMT 2025","tests.ProductTest","Firefox","tests.ProductTest","checkMoveToCart"
"","1296","checkContinueShopping","SouseDemo SmokeTest","Sat Aug 02 19:11:12 GMT 2025","passed","Sat Aug 02 19:11:13 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkContinueShopping"
"","4136","checkLogin","SouseDemo SmokeTest","Sat Aug 02 19:11:07 GMT 2025","passed","Sat Aug 02 19:11:12 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","619","checkNegative","SouseDemo SmokeTest","Sat Aug 02 19:11:14 GMT 2025","passed","Sat Aug 02 19:11:15 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkNegative"
"","1354","checkItemCost","SouseDemo SmokeTest","Sat Aug 02 19:11:15 GMT 2025","passed","Sat Aug 02 19:11:16 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkItemCost"
"","1148","checkAddedItemToCart","SouseDemo SmokeTest","Sat Aug 02 19:11:27 GMT 2025","passed","Sat Aug 02 19:11:28 GMT 2025","tests.ProductTest","Firefox","tests.ProductTest","checkAddedItemToCart"
"","1137","checkRemoveItem","SouseDemo SmokeTest","Sat Aug 02 19:11:21 GMT 2025","passed","Sat Aug 02 19:11:22 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkRemoveItem"
"","532","checkLoginWithoutUserName","SouseDemo SmokeTest","Sat Aug 02 19:11:13 GMT 2025","passed","Sat Aug 02 19:11:14 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithoutUserName"
"","1060","checkSumItem","SouseDemo SmokeTest","Sat Aug 02 19:11:24 GMT 2025","passed","Sat Aug 02 19:11:25 GMT 2025","tests.CartTest","Firefox","tests.CartTest","checkSumItem"
